StockCode,Total_Sold,First_Sale,Last_Sale,Active_Days,Order_Count,Sales_Period,Days_Since_Last,Avg_Sales_Per_Day,Turnover_Rate,Is_Slow_Mover
21018,22,2010-12-01 15:35:00,2010-12-14 11:01:00,4,4,13,5210,5.5,1.6923076923076923,1
90060B,1,2010-12-15 13:24:00,2010-12-15 13:24:00,1,1,1,5209,1.0,1.0,1
84620,2,2010-12-15 14:12:00,2010-12-15 14:12:00,1,1,1,5209,2.0,2.0,1
90060D,3,2010-12-06 12:47:00,2010-12-15 13:24:00,3,3,10,5209,1.0,0.3,1
35610A,8,2010-12-15 12:01:00,2010-12-15 12:01:00,1,1,1,5209,8.0,8.0,1
85084,17,2010-12-10 12:14:00,2010-12-15 11:26:00,6,6,5,5209,2.8333333333333335,3.4,1
22218,1,2010-12-15 16:50:00,2010-12-15 16:50:00,1,1,1,5208,1.0,1.0,1
85031C,3,2010-12-16 11:53:00,2010-12-16 11:53:00,1,1,1,5208,3.0,3.0,1
20910,8,2010-12-03 14:35:00,2010-12-16 11:53:00,3,3,13,5208,2.6666666666666665,0.6153846153846154,1
17012E,35,2010-12-10 12:33:00,2010-12-15 15:34:00,3,3,6,5208,11.666666666666666,5.833333333333333,1
35001W,92,2010-12-05 16:41:00,2010-12-16 10:08:00,5,5,11,5208,18.4,8.363636363636363,1
85031B,1,2010-12-16 19:19:00,2010-12-16 19:19:00,1,1,1,5207,1.0,1.0,1
22769,6,2010-12-09 12:17:00,2010-12-16 19:04:00,3,3,8,5207,2.0,0.75,1
35607A,24,2010-12-16 17:53:00,2010-12-16 17:53:00,1,1,1,5207,24.0,24.0,1
90178B,1,2010-12-17 17:23:00,2010-12-17 17:23:00,1,1,1,5206,1.0,1.0,1
37464,3,2010-12-03 12:24:00,2010-12-17 16:53:00,2,2,15,5206,1.5,0.2,1
84802A,2,2010-12-19 14:03:00,2010-12-19 14:03:00,1,1,1,5205,2.0,2.0,1
85109,12,2010-12-19 14:03:00,2010-12-19 14:03:00,1,1,1,5205,12.0,12.0,1
16169P,50,2010-12-10 11:24:00,2010-12-19 11:35:00,2,2,10,5205,25.0,5.0,1
90027A,4,2010-12-20 10:48:00,2010-12-20 10:48:00,1,1,1,5204,4.0,4.0,1
90027D,4,2010-12-20 10:48:00,2010-12-20 10:48:00,1,1,1,5204,4.0,4.0,1
79067,143,2010-12-02 16:34:00,2010-12-20 13:31:00,18,18,18,5204,7.944444444444445,7.944444444444445,1
90104,1,2010-12-21 16:08:00,2010-12-21 16:08:00,1,1,1,5202,1.0,1.0,1
20664,6,2010-12-12 12:08:00,2010-12-21 17:16:00,3,3,10,5202,2.0,0.6,1
90165B,1,2010-12-23 15:16:00,2010-12-23 15:16:00,1,1,1,5200,1.0,1.0,1
84499,7,2010-12-21 16:08:00,2011-01-04 11:34:00,2,2,14,5189,3.5,0.5,1
35957,558,2010-12-01 15:37:00,2011-01-04 13:22:00,7,7,34,5189,79.71428571428571,16.41176470588235,1
21632,60,2010-12-14 12:59:00,2011-01-05 10:35:00,5,5,22,5188,12.0,2.727272727272727,1
79323P,4,2011-01-11 13:54:00,2011-01-11 13:54:00,1,1,1,5182,4.0,4.0,1
22323,1,2011-01-12 13:19:00,2011-01-12 13:19:00,1,1,1,5181,1.0,1.0,1
21667,2,2011-01-12 12:31:00,2011-01-12 12:31:00,1,1,1,5181,2.0,2.0,1
17165D,27,2010-12-10 11:01:00,2011-01-12 15:22:00,7,7,34,5180,3.857142857142857,0.7941176470588235,1
85067,7,2010-12-01 14:03:00,2011-01-13 15:18:00,5,5,44,5179,1.4,0.1590909090909091,1
85018D,12,2010-12-03 12:11:00,2011-01-14 14:39:00,7,7,43,5179,1.7142857142857142,0.27906976744186046,1
90210A,26,2010-12-13 15:42:00,2011-01-13 15:11:00,3,3,31,5179,8.666666666666666,0.8387096774193549,1
85118,142,2010-12-08 13:08:00,2011-01-13 14:55:00,6,6,37,5179,23.666666666666668,3.8378378378378377,1
75013B,25,2010-12-05 13:08:00,2011-01-16 13:41:00,6,6,43,5177,4.166666666666667,0.5813953488372093,1
22830,131,2010-12-05 13:08:00,2011-01-16 13:25:00,6,6,43,5177,21.833333333333332,3.046511627906977,1
84675,9,2011-01-16 16:25:00,2011-01-17 13:23:00,2,2,1,5176,4.5,9.0,1
85055,37,2010-12-05 10:36:00,2011-01-18 10:22:00,10,10,44,5175,3.7,0.8409090909090909,1
37379A,6,2011-01-19 15:20:00,2011-01-19 15:20:00,1,1,1,5173,6.0,6.0,1
84534B,46,2010-12-03 12:29:00,2011-01-20 12:16:00,5,5,48,5173,9.2,0.9583333333333334,1
21836,3,2010-12-05 12:29:00,2011-01-20 15:22:00,2,2,47,5172,1.5,0.06382978723404255,1
85206B,14,2011-01-13 11:48:00,2011-01-20 19:16:00,4,4,8,5172,3.5,1.75,1
47591B,38,2010-12-01 16:57:00,2011-01-24 11:35:00,10,10,54,5169,3.8,0.7037037037037037,1
22146,1,2011-01-25 13:15:00,2011-01-25 13:15:00,1,1,1,5168,1.0,1.0,1
90197B,3,2011-01-25 09:01:00,2011-01-25 09:01:00,1,1,1,5168,3.0,3.0,1
20798,36,2010-12-02 12:28:00,2011-01-25 13:38:00,5,5,55,5168,7.2,0.6545454545454545,1
22862,139,2010-12-02 13:14:00,2011-01-25 13:46:00,45,45,55,5168,3.088888888888889,2.5272727272727273,1
72815,2,2011-01-26 12:40:00,2011-01-26 12:40:00,1,1,1,5167,2.0,2.0,1
16206B,7,2010-12-23 16:06:00,2011-01-26 12:29:00,2,2,34,5167,3.5,0.20588235294117646,1
22415,19,2010-12-05 11:45:00,2011-01-26 11:27:00,13,13,52,5167,1.4615384615384615,0.36538461538461536,1
85049B,54,2010-12-03 10:33:00,2011-01-26 14:19:00,13,13,55,5167,4.153846153846154,0.9818181818181818,1
21348,139,2010-12-16 10:38:00,2011-01-26 10:51:00,5,5,42,5167,27.8,3.3095238095238093,1
22184,8,2010-12-13 10:31:00,2011-01-27 11:05:00,4,4,46,5166,2.0,0.17391304347826086,1
62094B,13,2010-12-14 14:40:00,2011-01-27 11:05:00,3,3,44,5166,4.333333333333333,0.29545454545454547,1
17164B,27,2010-12-01 12:54:00,2011-01-26 14:51:00,9,9,57,5166,3.0,0.47368421052631576,1
85064,205,2010-12-01 14:41:00,2011-01-27 12:40:00,23,23,57,5166,8.91304347826087,3.5964912280701755,1
85047,3,2011-01-25 13:38:00,2011-01-27 15:36:00,2,2,3,5165,1.5,1.0,1
21690,22,2010-12-01 13:54:00,2011-01-30 15:48:00,7,7,61,5162,3.142857142857143,0.36065573770491804,1
84795C,2,2011-01-31 15:27:00,2011-01-31 15:27:00,1,1,1,5161,2.0,2.0,1
17028J,6,2011-01-31 15:27:00,2011-01-31 15:27:00,1,1,1,5161,6.0,6.0,1
79192A,3,2011-01-20 12:04:00,2011-02-02 17:06:00,2,2,14,5159,1.5,0.21428571428571427,1
84613A,6,2010-12-16 12:42:00,2011-02-02 17:06:00,3,3,49,5159,2.0,0.12244897959183673,1
90037B,6,2011-02-03 13:58:00,2011-02-03 13:58:00,1,1,1,5159,6.0,6.0,1
72798C,7,2010-12-01 17:35:00,2011-02-03 12:37:00,3,3,64,5159,2.3333333333333335,0.109375,1
22833,75,2010-12-05 16:24:00,2011-02-03 11:39:00,4,4,60,5159,18.75,1.25,1
84823,112,2010-12-13 15:44:00,2011-02-07 13:15:00,25,25,56,5155,4.48,2.0,1
90039C,1,2011-02-09 13:37:00,2011-02-09 13:37:00,1,1,1,5153,1.0,1.0,1
90122B,1,2011-02-09 13:37:00,2011-02-09 13:37:00,1,1,1,5153,1.0,1.0,1
90120D,2,2010-12-13 10:58:00,2011-02-09 13:37:00,2,2,59,5153,1.0,0.03389830508474576,1
90200C,20,2010-12-01 12:23:00,2011-02-09 13:37:00,6,6,71,5153,3.3333333333333335,0.28169014084507044,1
44265,2,2011-02-10 17:19:00,2011-02-10 17:19:00,1,1,1,5151,2.0,2.0,1
79323B,8,2011-02-11 13:53:00,2011-02-11 13:53:00,1,1,1,5151,8.0,8.0,1
72821,11,2011-01-27 11:55:00,2011-02-10 16:17:00,4,4,15,5151,2.75,0.7333333333333333,1
21655,36,2011-01-11 13:54:00,2011-02-11 13:53:00,2,2,31,5151,18.0,1.1612903225806452,1
85232B,267,2010-12-01 14:41:00,2011-02-11 13:53:00,9,9,72,5151,29.666666666666668,3.7083333333333335,1
90055,1,2011-02-11 16:19:00,2011-02-11 16:19:00,1,1,1,5150,1.0,1.0,1
90152C,1,2011-02-14 15:23:00,2011-02-14 15:23:00,1,1,1,5147,1.0,1.0,1
21785,410,2010-12-05 12:53:00,2011-02-15 14:44:00,4,4,73,5147,102.5,5.616438356164384,1
35911B,17,2011-01-05 12:15:00,2011-02-16 14:27:00,4,4,43,5146,4.25,0.3953488372093023,1
22242,631,2010-12-01 09:59:00,2011-02-16 10:32:00,27,27,78,5146,23.37037037037037,8.08974358974359,1
21757,6,2011-01-09 11:34:00,2011-02-17 12:29:00,3,3,40,5145,2.0,0.15,1
20857,32,2010-12-07 10:06:00,2011-02-17 13:28:00,8,8,73,5145,4.0,0.4383561643835616,1
21910,36,2010-12-05 16:24:00,2011-02-16 16:57:00,8,8,74,5145,4.5,0.4864864864864865,1
22351,12,2011-02-18 14:18:00,2011-02-18 14:18:00,1,1,1,5144,12.0,12.0,1
16033,840,2010-12-12 10:48:00,2011-02-17 15:40:00,4,4,68,5144,210.0,12.352941176470589,1
84562A,2,2010-12-03 15:19:00,2011-02-20 13:18:00,2,2,79,5142,1.0,0.02531645569620253,1
90024C,2,2011-02-20 14:31:00,2011-02-20 14:31:00,1,1,1,5142,2.0,2.0,1
90024F,2,2011-02-20 14:31:00,2011-02-20 14:31:00,1,1,1,5142,2.0,2.0,1
85092,27,2011-02-07 11:42:00,2011-02-20 13:21:00,2,2,14,5142,13.5,1.9285714285714286,1
21657,28,2010-12-01 13:21:00,2011-02-20 13:18:00,15,15,81,5142,1.8666666666666667,0.345679012345679,1
20854,164,2010-12-03 14:54:00,2011-02-20 12:01:00,17,17,79,5142,9.647058823529411,2.0759493670886076,1
21651,125,2010-12-01 12:15:00,2011-02-21 13:51:00,10,10,83,5141,12.5,1.5060240963855422,1
22198,873,2010-12-01 10:19:00,2011-02-21 11:35:00,53,53,83,5141,16.471698113207548,10.518072289156626,1
21661,3,2011-01-04 11:34:00,2011-02-22 13:20:00,3,3,50,5140,1.0,0.06,1
21414,1,2011-02-22 16:13:00,2011-02-22 16:13:00,1,1,1,5139,1.0,1.0,1
21681,2,2011-02-14 13:19:00,2011-02-22 15:00:00,2,2,9,5139,1.0,0.2222222222222222,1
90100,1,2011-02-24 11:54:00,2011-02-24 11:54:00,1,1,1,5138,1.0,1.0,1
62096A,106,2010-12-02 09:43:00,2011-02-24 14:32:00,8,8,85,5138,13.25,1.2470588235294118,1
21692,17,2010-12-06 12:41:00,2011-02-25 11:56:00,7,7,81,5137,2.4285714285714284,0.20987654320987653,1
84809B,18,2011-02-25 10:53:00,2011-02-25 10:53:00,1,1,1,5137,18.0,18.0,1
21100,43,2010-12-03 12:24:00,2011-02-27 12:48:00,8,8,87,5135,5.375,0.4942528735632184,1
84802B,4,2011-03-01 12:46:00,2011-03-01 12:46:00,1,1,1,5133,4.0,4.0,1
17001,72,2011-02-28 14:48:00,2011-02-28 14:48:00,1,1,1,5133,72.0,72.0,1
84569B,75,2010-12-01 13:04:00,2011-03-01 09:33:00,11,11,90,5133,6.818181818181818,0.8333333333333334,1
20820,5,2010-12-01 11:21:00,2011-03-01 17:28:00,2,2,91,5132,2.5,0.054945054945054944,1
84985A,41,2010-12-01 12:43:00,2011-03-01 17:28:00,18,18,91,5132,2.2777777777777777,0.45054945054945056,1
84799,220,2010-12-10 13:06:00,2011-03-01 16:34:00,9,9,82,5132,24.444444444444443,2.682926829268293,1
90183C,1,2011-03-04 10:58:00,2011-03-04 10:58:00,1,1,1,5130,1.0,1.0,1
90040B,4,2010-12-20 10:48:00,2011-03-04 10:58:00,2,2,75,5130,2.0,0.05333333333333334,1
46115B,12,2010-12-06 14:36:00,2011-03-04 14:28:00,2,2,88,5130,6.0,0.13636363636363635,1
84520B,481,2010-12-03 11:35:00,2011-03-03 15:02:00,54,54,91,5130,8.907407407407407,5.285714285714286,1
90084,1,2011-03-06 11:39:00,2011-03-06 11:39:00,1,1,1,5128,1.0,1.0,1
90038B,6,2011-03-07 12:26:00,2011-03-07 12:26:00,1,1,1,5127,6.0,6.0,1
90038C,6,2011-03-07 12:26:00,2011-03-07 12:26:00,1,1,1,5127,6.0,6.0,1
90040A,6,2010-12-20 10:48:00,2011-03-07 12:26:00,2,2,78,5127,3.0,0.07692307692307693,1
21911,105,2010-12-02 14:09:00,2011-03-07 13:10:00,20,20,95,5127,5.25,1.105263157894737,1
35004C,393,2010-12-01 10:03:00,2011-03-07 14:33:00,38,38,97,5127,10.342105263157896,4.051546391752577,1
62096B,2,2011-03-07 14:51:00,2011-03-07 14:51:00,1,1,1,5126,2.0,2.0,1
84593,5,2011-03-07 17:30:00,2011-03-07 17:30:00,1,1,1,5126,5.0,5.0,1
84306,2,2011-02-20 13:21:00,2011-03-09 13:56:00,2,2,18,5125,1.0,0.1111111111111111,1
21228,5,2011-02-08 10:32:00,2011-03-09 13:56:00,2,2,30,5125,2.5,0.16666666666666666,1
37343,62,2010-12-01 13:54:00,2011-03-09 14:30:00,8,8,99,5125,7.75,0.6262626262626263,1
20681,125,2010-12-02 19:59:00,2011-03-10 13:58:00,33,33,98,5124,3.787878787878788,1.2755102040816326,1
35647,13,2011-01-23 15:16:00,2011-03-11 12:29:00,2,2,47,5123,6.5,0.2765957446808511,1
84227,1,2011-03-14 15:40:00,2011-03-14 15:40:00,1,1,1,5119,1.0,1.0,1
21040,22,2010-12-03 15:19:00,2011-03-15 15:37:00,8,8,103,5118,2.75,0.21359223300970873,1
21826,92,2010-12-01 12:54:00,2011-03-16 13:00:00,18,18,106,5118,5.111111111111111,0.8679245283018868,1
85206A,914,2010-12-05 12:01:00,2011-03-16 12:26:00,103,103,102,5118,8.87378640776699,8.96078431372549,1
85189,9,2011-01-13 12:10:00,2011-03-16 15:45:00,3,3,63,5117,3.0,0.14285714285714285,1
85195,11,2010-12-14 12:58:00,2011-03-16 15:45:00,3,3,93,5117,3.6666666666666665,0.11827956989247312,1
82605,14,2010-12-12 12:35:00,2011-03-18 11:30:00,3,3,96,5116,4.666666666666667,0.14583333333333334,1
84803B,15,2011-03-01 12:46:00,2011-03-18 12:35:00,3,3,17,5116,5.0,0.8823529411764706,1
21392,32,2010-12-02 15:46:00,2011-03-17 19:01:00,6,6,106,5116,5.333333333333333,0.3018867924528302,1
37423,78,2011-03-04 09:46:00,2011-03-18 11:30:00,3,3,15,5116,26.0,5.2,1
37351,4,2011-03-20 13:28:00,2011-03-20 13:28:00,1,1,1,5114,4.0,4.0,1
84750A,24,2011-03-20 10:13:00,2011-03-20 10:13:00,1,1,1,5114,24.0,24.0,1
22021,350,2010-12-05 12:01:00,2011-03-21 11:24:00,64,64,106,5113,5.46875,3.30188679245283,1
77101A,385,2010-12-05 12:15:00,2011-03-21 11:49:00,20,20,106,5113,19.25,3.6320754716981134,1
37330,6,2011-03-22 12:25:00,2011-03-22 12:25:00,1,1,1,5112,6.0,6.0,1
84798B,7,2011-03-06 15:21:00,2011-03-22 13:54:00,2,2,16,5112,3.5,0.4375,1
21547,72,2010-12-06 15:25:00,2011-03-22 13:11:00,16,16,106,5112,4.5,0.6792452830188679,1
21717,405,2010-12-12 11:44:00,2011-03-22 11:05:00,38,38,100,5112,10.657894736842104,4.05,1
90036F,4,2011-03-23 12:15:00,2011-03-23 12:15:00,1,1,1,5111,4.0,4.0,1
90131,4,2011-03-23 12:15:00,2011-03-23 12:15:00,1,1,1,5111,4.0,4.0,1
21416,5,2010-12-02 13:49:00,2011-03-22 16:08:00,4,4,111,5111,1.25,0.04504504504504504,1
21461,8,2011-01-16 16:23:00,2011-03-23 11:48:00,4,4,66,5111,2.0,0.12121212121212122,1
21460,26,2011-01-14 09:52:00,2011-03-23 11:48:00,9,9,69,5111,2.888888888888889,0.37681159420289856,1
84678,138,2010-12-01 12:12:00,2011-03-23 10:15:00,10,10,112,5111,13.8,1.2321428571428572,1
22127,402,2010-12-01 10:29:00,2011-03-23 12:24:00,20,20,113,5111,20.1,3.5575221238938055,1
85224,3,2011-03-23 16:45:00,2011-03-23 16:45:00,1,1,1,5110,3.0,3.0,1
84569C,1,2011-03-25 13:54:00,2011-03-25 13:54:00,1,1,1,5109,1.0,1.0,1
22764,3,2011-03-09 11:59:00,2011-03-25 12:10:00,2,2,17,5109,1.5,0.17647058823529413,1
84840,3,2011-02-13 11:13:00,2011-03-25 12:21:00,3,3,41,5109,1.0,0.07317073170731707,1
84898F,45,2010-12-05 11:40:00,2011-03-24 16:45:00,18,18,110,5109,2.5,0.4090909090909091,1
21839,1,2011-03-27 14:28:00,2011-03-27 14:28:00,1,1,1,5107,1.0,1.0,1
85188B,75,2011-01-17 15:19:00,2011-03-27 12:06:00,8,8,69,5107,9.375,1.0869565217391304,1
37444B,4,2010-12-09 14:15:00,2011-03-28 12:23:00,3,3,109,5106,1.3333333333333333,0.03669724770642202,1
21357,19,2010-12-02 15:46:00,2011-03-28 12:52:00,10,10,116,5106,1.9,0.16379310344827586,1
37444C,19,2010-12-01 09:41:00,2011-03-28 12:23:00,7,7,118,5106,2.7142857142857144,0.16101694915254236,1
35910A,20,2011-01-05 15:56:00,2011-03-28 14:07:00,4,4,82,5106,5.0,0.24390243902439024,1
21393,29,2010-12-02 15:46:00,2011-03-28 12:23:00,7,7,116,5106,4.142857142857143,0.25,1
16010,30,2010-12-05 16:41:00,2011-03-28 14:27:00,3,3,113,5106,10.0,0.26548672566371684,1
35915B,91,2010-12-10 11:33:00,2011-03-28 14:59:00,14,14,109,5105,6.5,0.8348623853211009,1
21827,6,2010-12-06 12:55:00,2011-03-29 17:23:00,3,3,114,5104,2.0,0.05263157894736842,1
47593A,33,2010-12-12 12:08:00,2011-03-29 16:05:00,12,12,108,5104,2.75,0.3055555555555556,1
47570B,180,2010-12-01 11:21:00,2011-03-29 15:18:00,26,26,119,5104,6.923076923076923,1.5126050420168067,1
84743C,1,2011-03-31 13:14:00,2011-03-31 13:14:00,1,1,1,5103,1.0,1.0,1
10123C,5,2010-12-03 11:19:00,2011-03-31 13:14:00,3,3,119,5103,1.6666666666666667,0.04201680672268908,1
82095,7,2011-02-22 16:15:00,2011-03-30 15:29:00,4,4,36,5103,1.75,0.19444444444444445,1
84218,122,2011-01-05 09:51:00,2011-03-31 11:25:00,40,40,86,5103,3.05,1.4186046511627908,1
90026B,2,2011-02-20 14:31:00,2011-03-31 19:12:00,2,2,40,5102,1.0,0.05,1
84313B,76,2010-12-13 15:16:00,2011-04-01 09:25:00,13,13,109,5102,5.846153846153846,0.6972477064220184,1
84596E,391,2010-12-01 12:43:00,2011-04-01 11:46:00,35,35,121,5102,11.17142857142857,3.231404958677686,1
20906,3,2010-12-08 13:23:00,2011-04-03 15:07:00,2,2,117,5099,1.5,0.02564102564102564,1
85017A,6,2011-03-28 12:22:00,2011-04-03 15:07:00,2,2,7,5099,3.0,0.8571428571428571,1
84251C,24,2011-01-07 14:04:00,2011-04-03 15:22:00,2,2,87,5099,12.0,0.27586206896551724,1
75131,488,2010-12-09 13:03:00,2011-04-04 14:00:00,13,13,117,5099,37.53846153846154,4.170940170940171,1
21333,55,2010-12-01 13:23:00,2011-04-05 12:37:00,15,15,125,5098,3.6666666666666665,0.44,1
21518,265,2010-12-02 10:39:00,2011-04-05 10:58:00,17,17,125,5098,15.588235294117647,2.12,1
84968B,2,2011-03-18 11:24:00,2011-04-06 11:34:00,2,2,20,5097,1.0,0.1,1
84877A,12,2011-04-06 12:49:00,2011-04-06 12:49:00,1,1,1,5097,12.0,12.0,1
20785,14,2011-01-05 15:56:00,2011-04-06 12:08:00,5,5,91,5097,2.8,0.15384615384615385,1
84801B,22,2011-02-01 12:25:00,2011-04-06 14:23:00,3,3,65,5097,7.333333333333333,0.3384615384615385,1
35915C,49,2011-01-31 14:18:00,2011-04-06 10:20:00,8,8,65,5097,6.125,0.7538461538461538,1
21736,80,2010-12-12 16:14:00,2011-04-06 12:08:00,5,5,115,5097,16.0,0.6956521739130435,1
79331,26,2011-02-20 13:06:00,2011-04-07 12:04:00,3,3,46,5096,8.666666666666666,0.5652173913043478,1
85146,43,2010-12-15 13:24:00,2011-04-07 13:11:00,8,8,113,5096,5.375,0.3805309734513274,1
21320,186,2011-01-27 16:43:00,2011-04-07 13:09:00,11,11,70,5096,16.90909090909091,2.657142857142857,1
22264,1391,2010-12-02 15:39:00,2011-04-07 11:37:00,40,40,126,5096,34.775,11.03968253968254,1
16020C,6,2011-03-02 17:33:00,2011-04-07 19:27:00,2,2,37,5095,3.0,0.16216216216216217,1
85028L,10,2011-03-27 14:28:00,2011-04-08 11:54:00,4,4,12,5095,2.5,0.8333333333333334,1
85030,15,2011-03-20 13:28:00,2011-04-08 11:54:00,6,6,19,5095,2.5,0.7894736842105263,1
84751B,17,2010-12-15 13:24:00,2011-04-08 10:20:00,8,8,114,5095,2.125,0.14912280701754385,1
85028S,24,2011-03-27 14:28:00,2011-04-08 11:54:00,8,8,12,5095,3.0,2.0,1
35922,28,2011-01-16 16:23:00,2011-04-08 11:28:00,10,10,82,5095,2.8,0.34146341463414637,1
85167B,48,2010-12-05 12:57:00,2011-04-08 09:25:00,7,7,124,5095,6.857142857142857,0.3870967741935484,1
84459B,676,2010-12-10 11:33:00,2011-04-07 19:05:00,60,60,119,5095,11.266666666666667,5.680672268907563,1
90024D,1,2011-04-10 11:45:00,2011-04-10 11:45:00,1,1,1,5093,1.0,1.0,1
20666,4,2010-12-12 12:26:00,2011-04-10 11:35:00,4,4,119,5093,1.0,0.03361344537815126,1
90010B,7,2011-01-13 15:11:00,2011-04-10 11:45:00,3,3,87,5093,2.3333333333333335,0.08045977011494253,1
85008,12,2010-12-09 16:08:00,2011-04-10 14:16:00,7,7,122,5093,1.7142857142857142,0.09836065573770492,1
85040B,135,2010-12-09 14:19:00,2011-04-10 12:53:00,34,34,122,5093,3.9705882352941178,1.1065573770491803,1
21319,147,2010-12-14 13:02:00,2011-04-10 13:36:00,12,12,118,5093,12.25,1.2457627118644068,1
21316,148,2011-01-27 16:43:00,2011-04-10 13:36:00,9,9,73,5093,16.444444444444443,2.0273972602739727,1
90123D,3,2011-01-27 15:36:00,2011-04-10 16:01:00,2,2,74,5092,1.5,0.04054054054054054,1
90175D,3,2010-12-07 16:20:00,2011-04-10 16:01:00,2,2,124,5092,1.5,0.024193548387096774,1
35809B,8,2011-04-04 11:28:00,2011-04-11 14:11:00,3,3,8,5092,2.6666666666666665,1.0,1
79329,12,2010-12-15 13:24:00,2011-04-10 15:07:00,2,2,117,5092,6.0,0.10256410256410256,1
90062,20,2010-12-05 15:12:00,2011-04-10 16:01:00,6,6,127,5092,3.3333333333333335,0.15748031496062992,1
